,Name,Review_Count,Categories_All,Rating,Latitude,Longitude,Price,Address,City,Zip_Code,State
12,Eggslut,5529,Breakfast & Brunch,4.0,34.050528899999996,-118.2486189,$,317 S Broadway,Los Angeles,90013,CA
176,Zinc Cafe & Market,1622,"Breakfast & Brunch, Cocktail Bars, Vegetarian",4.0,34.039413,-118.232504,$$,580 Mateo St,Los Angeles,90013,CA
267,Blu Jam Cafe,859,"Breakfast & Brunch, American (New), Modern European",4.0,34.04676,-118.25098999999999,$$,541 S Spring St,Los Angeles,90013,CA
273,Manuela,836,"American (New), Breakfast & Brunch, Bars",4.0,34.046079999999996,-118.23489,$$,907 E 3rd St,Los Angeles,90013,CA
431,Nickel Diner,2380,"Diners, Breakfast & Brunch, Coffee & Tea",4.0,34.046219,-118.24899199999999,$$,524 S Main St,Los Angeles,90013,CA
583,The Pie Hole,3006,"Coffee & Tea, American (Traditional), Breakfast & Brunch",4.0,34.0453201,-118.2362393,$$,714 Traction Ave,Los Angeles,90013,CA
620,Hock+Hoof,226,"American (New), Breakfast & Brunch, Cocktail Bars",4.5,34.0470812,-118.2501365,$$,517 S Spring St,Los Angeles,90013,CA
829,ediBOL,539,"American (New), Breakfast & Brunch",4.5,34.0448754975184,-118.232614428836,$$,300 S Santa Fe Ave,Los Angeles,90013,CA
1041,Cafe Gratitude,893,"Vegan, Vegetarian, Breakfast & Brunch",4.0,34.0456533607716,-118.232452260713,$$,300 S Santa Fe Ave,Los Angeles,90013,CA
1333,Pitchoun!,863,"Cafes, Bakeries, Breakfast & Brunch",4.0,34.0485543132128,-118.254053902141,$$,545 S Olive St,Los Angeles,90013,CA
1737,Ktchn Dtla,502,"Breakfast & Brunch, American (New)",4.0,34.0426521516012,-118.234945794618,$$,428 S Hewitt St,Los Angeles,90013,CA
